ModelThickMax,ModelThickMin,ModelThickDiff,ModelThickMedian,ModelThickMean,ModelThickStd,ModeVelCoeff
62,60,2,61,61.05234375,0.72995387343961,0.99
62,60,2,61,61.05234375,0.72995387343961,1
62,60,2,61,61.05234375,0.72995387343961,1.01
62,60,2,61,61.05234375,0.72995387343961,1.02
62,58,4,61,60.51640625,1.1466562425185,0.98
62,58,4,61,60.51640625,1.1466562425185,0.99
62,58,4,61,60.51640625,1.1466562425185,1
62,58,4,61,60.51640625,1.1466562425185,1.01
62,58,4,61,60.51640625,1.1466562425185,1.02
62,58,4,60,60.3609375,1.18210757670718,0.98
62,58,4,60,60.3609375,1.18210757670718,0.99
62,58,4,60,60.3609375,1.18210757670718,1
62,58,4,60,60.3609375,1.18210757670718,1.01
62,58,4,60,60.3609375,1.18210757670718,1.02
62,58,4,61,60.4453125,1.15023602126389,0.98
62,58,4,61,60.4453125,1.15023602126389,0.99
62,58,4,61,60.4453125,1.15023602126389,1
62,58,4,61,60.4453125,1.15023602126389,1.01
62,58,4,61,60.4453125,1.15023602126389,1.02
62,56,6,61,60.3,1.39943024260207,0.98
62,56,6,61,60.3,1.39943024260207,0.99
62,56,6,61,60.3,1.39943024260207,1
62,56,6,61,60.3,1.39943024260207,1.01
62,56,6,61,60.3,1.39943024260207,1.02
62,56,6,60,60.05234375,1.48368583802298,0.98
62,56,6,60,60.05234375,1.48368583802298,0.99
62,56,6,60,60.05234375,1.48368583802298,1
62,56,6,60,60.05234375,1.48368583802298,1.01
62,56,6,60,60.05234375,1.48368583802298,1.02
62,56,6,60,60.1984375,1.43004641198186,0.98
62,56,6,60,60.1984375,1.43004641198186,0.99
62,56,6,60,60.1984375,1.43004641198186,1
62,56,6,60,60.1984375,1.43004641198186,1.01
62,56,6,60,60.1984375,1.43004641198186,1.02
62,54,8,60,60.159375,1.61198780738719,0.98
62,54,8,60,60.159375,1.61198780738719,0.99
62,54,8,60,60.159375,1.61198780738719,1
62,54,8,60,60.159375,1.61198780738719,1.01
62,54,8,60,60.159375,1.61198780738719,1.02
62,54,8,60,59.93671875,1.65468373985147,0.98
62,54,8,60,59.93671875,1.65468373985147,0.99
62,54,8,60,59.93671875,1.65468373985147,1
62,54,8,60,59.93671875,1.65468373985147,1.01
62,54,8,60,59.93671875,1.65468373985147,1.02
62,54,8,60,60.10859375,1.5623365825411,0.98
