ModelThickMax,ModelThickMin,ModelThickDiff,ModelThickMedian,ModelThickMean,ModelThickStd,ModeVelCoeff,EnvelopeAvgTimeDiff,EnvelopeAvgAmpReduc,PhaseDiffMean,Win4_PeakAmp,Win4_PeakFreq,Win4_fwhmFreqRange
61,61,0,61,61,0,0.980000019073486,8.73199969646521e-05,-0.0902150571346283,-0.820040702819824,1.24163022974244e-06,47851.5625,30273.4375
61,61,0,61,61,0,0.990000009536743,8.66199989104643e-05,-0.0895965397357941,-0.553821802139282,1.23829647691309e-06,47851.5625,31250
61,61,0,61,61,0,1,8.5790001321584e-05,-0.0890827476978302,-0.293270111083984,1.22482526876411e-06,46875,31250
61,61,0,61,61,0,1.00999999046326,8.49700008984655e-05,-0.0886954963207245,-0.0382242053747177,1.20182323826157e-06,46875,31250
61,61,0,61,61,0,1.01999998092651,8.42450026539154e-05,-0.0881488025188446,0.21149317920208,1.17201193461369e-06,45898.4375,31250
61,59,2,60,60.0593757629395,0.727805554866791,0.980000019073486,8.76600024639629e-05,-0.121048480272293,-1.17267334461212,1.14349916202627e-06,47851.5625,30273.4375
61,59,2,60,60.0593757629395,0.727805554866791,0.990000009536743,8.69400028022937e-05,-0.121133983135223,-0.905654311180115,1.14627312086668e-06,47851.5625,31250
61,59,2,60,60.0593757629395,0.727805554866791,1,8.62300003063865e-05,-0.12092399597168,-0.644659578800201,1.13987107397406e-06,46875,30273.4375
61,59,2,60,60.0593757629395,0.727805554866791,1.00999999046326,8.54199970490299e-05,-0.120035767555237,-0.389175891876221,1.12478562641627e-06,46875,31250
61,59,2,60,60.0593757629395,0.727805554866791,1.01999998092651,8.46399998408742e-05,-0.118944555521011,-0.138896897435188,1.10291944110941e-06,45898.4375,31250
61,59,2,60,60.0164070129395,0.733779788017273,0.980000019073486,8.76600024639629e-05,-0.126508384943008,-1.16530442237854,1.12444251954003e-06,47851.5625,30273.4375
61,59,2,60,60.0164070129395,0.733779788017273,0.990000009536743,8.69599971338175e-05,-0.126493871212006,-0.898526310920715,1.12704287857923e-06,46875,31250
61,59,2,60,60.0164070129395,0.733779788017273,1,8.62200031406246e-05,-0.126052021980286,-0.637714624404907,1.12129362150881e-06,46875,30273.4375
61,59,2,60,60.0164070129395,0.733779788017273,1.00999999046326,8.53800011100248e-05,-0.124834299087524,-0.382355511188507,1.10657333607378e-06,46875,31250
61,59,2,60,60.0164070129395,0.733779788017273,1.01999998092651,8.46300026751123e-05,-0.123461335897446,-0.132186129689217,1.0857420420507e-06,45898.4375,31250
61,59,2,60,60.0445327758789,0.741098701953888,0.980000019073486,8.76100020832382e-05,-0.12128734588623,-1.1650892496109,1.1355041351635e-06,47851.5625,30273.4375
61,59,2,60,60.0445327758789,0.741098701953888,0.990000009536743,8.69099967530929e-05,-0.121657371520996,-0.897608518600464,1.1354763955751e-06,47851.5625,31250
61,59,2,60,60.0445327758789,0.741098701953888,1,8.61700027598999e-05,-0.121655195951462,-0.636112213134766,1.12425277620787e-06,47851.5625,31250
61,59,2,60,60.0445327758789,0.741098701953888,1.00999999046326,8.53699966683052e-05,-0.120866864919662,-0.380065321922302,1.10552207388537e-06,46875,32226.5625
61,59,2,60,60.0445327758789,0.741098701953888,1.01999998092651,8.45800022943877e-05,-0.119905710220337,-0.129177883267403,1.07833955098613e-06,45898.4375,31250
61,57,4,60,59.4273452758789,1.15263676643372,0.980000019073486,8.82000022102147e-05,-0.157815217971802,-1.70765280723572,1.0109506547451e-06,47851.5625,31250
61,57,4,60,59.4273452758789,1.15263676643372,0.990000009536743,8.73800017870963e-05,-0.157669454813004,-1.43763089179993,1.02117905953492e-06,47851.5625,30273.4375
61,57,4,60,59.4273452758789,1.15263676643372,1,8.65499969222583e-05,-0.15819525718689,-1.17368054389954,1.02415935998579e-06,46875,31250
61,57,4,60,59.4273452758789,1.15263676643372,1.00999999046326,8.5790001321584e-05,-0.158980578184128,-0.915795683860779,1.01910222838342e-06,46875,30273.4375
61,57,4,60,59.4273452758789,1.15263676643372,1.01999998092651,8.51500008138828e-05,-0.158955454826355,-0.663790464401245,1.00848205875081e-06,45898.4375,31250
61,57,4,59,59.3804702758789,1.16895997524261,0.980000019073486,8.84900000528432e-05,-0.157283753156662,-1.66697525978088,9.87500470728264e-07,47851.5625,31250
61,57,4,59,59.3804702758789,1.16895997524261,0.990000009536743,8.77299971762113e-05,-0.156747490167618,-1.39675486087799,9.97486949927406e-07,47851.5625,31250
61,57,4,59,59.3804702758789,1.16895997524261,1,8.69299983605742e-05,-0.156816452741623,-1.13254034519196,9.98554810394126e-07,46875,31250
61,57,4,59,59.3804702758789,1.16895997524261,1.00999999046326,8.62200031406246e-05,-0.157080918550491,-0.874351978302002,9.92102513919235e-07,46875,32226.5625
61,57,4,59,59.3804702758789,1.16895997524261,1.01999998092651,8.5489999037236e-05,-0.156640827655792,-0.621955931186676,9.79610490503546e-07,45898.4375,31250
61,57,4,60,59.4312515258789,1.16501986980438,0.980000019073486,8.84100008988753e-05,-0.156168639659882,-1.6947124004364,1.01609293778893e-06,48828.125,31250
61,57,4,60,59.4312515258789,1.16501986980438,0.990000009536743,8.75999976415187e-05,-0.15599524974823,-1.42371606826782,1.02452031569555e-06,47851.5625,30273.4375
61,57,4,60,59.4312515258789,1.16501986980438,1,8.68299975991249e-05,-0.156480133533478,-1.15874314308167,1.02410467661684e-06,47851.5625,31250
61,57,4,60,59.4312515258789,1.16501986980438,1.00999999046326,8.61099979374558e-05,-0.157211273908615,-0.899793148040771,1.01679552244605e-06,46875,31250
61,57,4,60,59.4312515258789,1.16501986980438,1.01999998092651,8.54399986565113e-05,-0.157178580760956,-0.646674454212189,1.00228919563961e-06,45898.4375,31250
61,55,6,59,59.1296882629395,1.45360136032104,0.980000019073486,8.80099978530779e-05,-0.16157540678978,-1.96497106552124,9.86307213679538e-07,48828.125,30273.4375
61,55,6,59,59.1296882629395,1.45360136032104,0.990000009536743,8.73449971550144e-05,-0.161771833896637,-1.69336903095245,9.87507291938527e-07,47851.5625,31250
61,55,6,59,59.1296882629395,1.45360136032104,1,8.65699985297397e-05,-0.162306994199753,-1.42525446414948,9.82677988758951e-07,46875,32226.5625
61,55,6,59,59.1296882629395,1.45360136032104,1.00999999046326,8.56499973451719e-05,-0.163488745689392,-1.16724073886871,9.74531758402009e-07,46875,31250
61,55,6,59,59.1296882629395,1.45360136032104,1.01999998092651,8.47300034365617e-05,-0.164938718080521,-0.915252685546875,9.63609636528417e-07,44921.875,32226.5625
61,55,6,59,59.0789070129395,1.47722625732422,0.980000019073486,8.90049996087328e-05,-0.152119398117065,-1.92516589164734,1.00141119219188e-06,48828.125,31250
61,55,6,59,59.0789070129395,1.47722625732422,0.990000009536743,8.82050007930957e-05,-0.150808840990067,-1.65253829956055,1.01818181974522e-06,48828.125,31250
61,55,6,59,59.0789070129395,1.47722625732422,1,8.74800025485456e-05,-0.149952918291092,-1.38578188419342,1.026388417813e-06,47851.5625,31250
61,55,6,59,59.0789070129395,1.47722625732422,1.00999999046326,8.6749998445157e-05,-0.149766474962234,-1.12475574016571,1.02501121546084e-06,47851.5625,31250
61,55,6,59,59.0789070129395,1.47722625732422,1.01999998092651,8.59900028444827e-05,-0.149947017431259,-0.869441270828247,1.01483828984783e-06,46875,32226.5625
