ModelThickMax,ModelThickMin,ModelThickDiff,ModelThickMedian,ModelThickMean,ModelThickStd,ModeVelCoeff,EnvelopeAvgTimeDiff,EnvelopeAvgAmpReduc,PhaseDiffMean,Win4_PeakAmp,Win4_PeakFreq,Win4_fwhmFreqRange
50,49,1,50,49.5335922241211,0.499065160751343,0.992999970912933,8.92500029294752e-05,-0.156744182109833,2.66812229156494,1.27767816593405e-06,49804.6875,29296.875
50,49,1,50,49.51171875,0.500058054924011,1.01800000667572,8.68650022312067e-05,-0.161945253610611,-2.65717482566833,1.26526754229417e-06,48828.125,29296.875
50,49,1,49,49.4992179870605,0.500194787979126,1.01600003242493,8.72899981914088e-05,-0.161021173000336,-2.71051049232483,1.28515068809065e-06,48828.125,29296.875
50,49,1,50,49.5132827758789,0.500018954277039,0.995000004768372,8.88700014911592e-05,-0.15941646695137,2.37051701545715,1.26343604733847e-06,49804.6875,29296.875
50,49,1,50,49.5109367370605,0.50007575750351,0.992999970912933,8.90899973455817e-05,-0.158950924873352,2.67784738540649,1.2537225302367e-06,49804.6875,29296.875
50,49,1,50,49.5132827758789,0.500018954277039,0.986999988555908,8.96700003067963e-05,-0.159531384706497,2.77495241165161,1.23369295579323e-06,50781.25,30273.4375
50,49,1,50,49.5257797241211,0.499530047178268,0.992999970912933,8.89700022526085e-05,-0.154635459184647,2.67119932174683,1.27364751278947e-06,49804.6875,29296.875
50,48,2,49,49.0523452758789,0.733160138130188,1.0110000371933,8.8155000412371e-05,-0.153266042470932,2.79461240768433,1.36981452669716e-06,48828.125,30273.4375
50,48,2,49,49.0539054870605,0.739418685436249,0.996999979019165,8.91050003701821e-05,-0.153237015008926,2.40175914764404,1.32760590076941e-06,49804.6875,29296.875
50,48,2,49,49.0484390258789,0.735026121139526,1.00199997425079,8.86049965629354e-05,-0.157214045524597,2.55459308624268,1.31865920138807e-06,48828.125,30273.4375
50,48,2,49,49.0359382629395,0.743145287036896,0.994000017642975,8.92750031198375e-05,-0.153924912214279,2.33391547203064,1.2997004432691e-06,49804.6875,30273.4375
50,47,3,49,48.6796875,0.967280149459839,1.00300002098083,8.91750023583882e-05,-0.176887094974518,2.15018701553345,1.20631887057243e-06,48828.125,29296.875
50,47,3,49,48.6648445129395,0.946256339550018,0.989000022411346,9.03949985513464e-05,-0.187788099050522,1.76215696334839,1.0881868774959e-06,49804.6875,30273.4375
50,47,3,49,48.6507797241211,0.932808816432953,0.998000025749207,8.95600023795851e-05,-0.178788870573044,2.02429246902466,1.1662434644677e-06,49804.6875,30273.4375
50,47,3,49,48.734375,0.970916986465454,0.996999979019165,8.99799997569062e-05,-0.168224811553955,1.98357021808624,1.21186201340606e-06,49804.6875,30273.4375
50,46,4,49,48.4359359741211,1.14975166320801,1.01199996471405,8.92149982973933e-05,-0.183799386024475,2.13362073898315,1.16031560537522e-06,48828.125,30273.4375
50,46,4,48,48.2906265258789,1.15421092510223,0.994000017642975,9.07249996089377e-05,-0.196565061807632,1.58552646636963,1.07240282432031e-06,49804.6875,30273.4375
50,46,4,49,48.46875,1.13400423526764,1.01900005340576,8.85150002432056e-05,-0.196265041828156,2.34725141525269,1.14209512958041e-06,48828.125,30273.4375
50,46,4,49,48.4195327758789,1.15211725234985,1.00999999046326,8.88950016815215e-05,-0.192239195108414,2.09513449668884,1.12781901862036e-06,48828.125,30273.4375
50,45,5,49,48.3703117370605,1.28820717334747,1.01699995994568,8.84050023159944e-05,-0.204920709133148,2.1007513999939,1.16839169095329e-06,48828.125,29296.875
50,45,5,48,48.3234367370605,1.27344226837158,1.01600003242493,8.88049980858341e-05,-0.201146692037582,2.16605496406555,1.1155757420056e-06,48828.125,30273.4375
